Designator,Mid X,Mid Y,Layer,Rotation
C603,42.845mm,48.005mm,Bottom,0.0
C604,45.045mm,48.955mm,Bottom,180.0
C605,43.386668mm,35.13mm,Bottom,270.0
C606,42.845mm,48.955mm,Bottom,180.0
C607,47.269999999999996mm,31.455000000000002mm,Bottom,270.0
C608,53.519999999999996mm,48.730000000000004mm,Bottom,90.0
C617,50.869628mm,54.555mm,Bottom,180.0
C618,45.269999999999996mm,52.130064000000004mm,Bottom,270.0
D604,43.095mm,52.53mm,Bottom,90.0
R602,48.144999999999996mm,40.230000000000004mm,Bottom,90.0
R603,50.144999999999996mm,41.005mm,Bottom,270.0
R604,42.845mm,47.055mm,Bottom,0.0
R605,49.144999999999996mm,41.03mm,Bottom,90.0
R606,48.42mm,32.43mm,Bottom,90.0
R607,42.32mm,35.13mm,Bottom,90.0
R608,49.144999999999996mm,39.13mm,Bottom,270.0
R609,53.495mm,46.13mm,Bottom,90.0
R610,45.894999999999996mm,37.055mm,Bottom,90.0
R611,45.894999999999996mm,35.13mm,Bottom,90.0
R612,44.628333999999995mm,35.13mm,Bottom,270.0
R613,51.795mm,45.155mm,Bottom,0.0
R614,52.57mm,48.734291mm,Bottom,270.0
R615,52.095mm,46.68mm,Bottom,270.0
R616,52.07mm,31.48mm,Bottom,90.0
R618,50.144999999999996mm,43.755mm,Bottom,90.0
R619,49.144999999999996mm,42.93mm,Bottom,90.0
R620,48.144999999999996mm,42.93mm,Bottom,270.0
R621,53.004999999999995mm,54.555mm,Bottom,180.0
R622,52.07mm,33.43mm,Bottom,270.0
R623,48.144999999999996mm,44.805mm,Bottom,90.0
R624,54.47mm,48.730000000000004mm,Bottom,270.0
R629,48.858652mm,54.545mm,Bottom,0.0
R630,51.585mm,39.715mm,Bottom,90.0
U600,44.595mm,42.505mm,Bottom,180.0
U601,53.519999999999996mm,51.855000000000004mm,Bottom,270.0
U605,48.794627999999996mm,50.355000000000004mm,Bottom,90.0
C600,43.22mm,40.2675mm,Top,180.0
C609,44.644999999999996mm,48.58mm,Top,180.0
C610,51.195mm,53.978mm,Top,270.0
C611,49.295mm,39.155mm,Top,180.0
C612,51.195mm,39.155mm,Top,0.0
C613,46.67mm,53.08mm,Top,270.0
C614,47.17mm,39.155mm,Top,0.0
C615,53.97mm,49.255mm,Top,0.0
C616,49.1325mm,50.93mm,Top,180.0
D600,44.07mm,30.555mm,Top,0.0
D601,42.745mm,43.33mm,Top,90.0
D602,42.745mm,46.305mm,Top,270.0
D603,53.575mm,50.837450000000004mm,Top,180.0
Q600,47.295mm,34.995000000000005mm,Top,0.0
Q601,53.97mm,34.905mm,Top,90.0
R600,45.12mm,39.205mm,Top,180.0
R601,43.22mm,39.205mm,Top,180.0
R617,53.97mm,40.455mm,Top,0.0
R625,46.644999999999996mm,51.105000000000004mm,Top,270.0
R626,43.22mm,41.33mm,Top,180.0
R627,42.769999999999996mm,48.455mm,Top,180.0
R628,51.195mm,51.33mm,Top,90.0
U602,49.445mm,44.805mm,Top,0.0
U603,53.445mm,53.43mm,Top,180.0
U604,48.97mm,53.38mm,Top,270.0
U440,120.5193mm,69.615566mm,Top,0.0
R440,121.99430000000001mm,73.825566mm,Top,0.0
D441,121.0193mm,77.465566mm,Top,180.0
D440,121.0693mm,75.39056599999999mm,Top,180.0
C440,119.36930000000001mm,73.790566mm,Top,0.0
C474,96.1918mm,84.582398mm,Bottom,270.0
R470,92.53819999999999mm,83.667398mm,Bottom,180.0
U471,97.5732mm,84.61439800000001mm,Top,180.0
R474,98.4382mm,84.581998mm,Bottom,180.0
R473,97.17859999999999mm,84.11739800000001mm,Bottom,270.0
R472,94.66319999999999mm,83.667398mm,Bottom,180.0
C473,98.53819999999999mm,85.567398mm,Bottom,180.0
C472,98.53819999999999mm,83.717398mm,Bottom,0.0
U470,93.59819999999999mm,84.61439800000001mm,Top,180.0
R471,92.53819999999999mm,84.567398mm,Bottom,0.0
C471,92.5882mm,85.567398mm,Bottom,0.0
C470,94.7132mm,85.567398mm,Bottom,180.0
C474_2,96.1864mm,80.939196mm,Bottom,270.0
R470_2,92.5328mm,80.024196mm,Bottom,180.0
U471_2,97.5678mm,80.971196mm,Top,180.0
R474_2,98.4328mm,80.938796mm,Bottom,180.0
R473_2,97.1732mm,80.474196mm,Bottom,270.0
R472_2,94.6578mm,80.024196mm,Bottom,180.0
C473_2,98.5328mm,81.924196mm,Bottom,180.0
C472_2,98.5328mm,80.074196mm,Bottom,0.0
U470_2,93.5928mm,80.971196mm,Top,180.0
R471_2,92.5328mm,80.924196mm,Bottom,0.0
C471_2,92.5828mm,81.924196mm,Bottom,0.0
C470_2,94.7078mm,81.924196mm,Bottom,180.0
